Category,Definition
"United States"
"    All Counties"
"    All States"
"    United States",99
Alabama
"    Alabama (state totals)",01
"    Autauga County",01001
"    Abanda CDP",0100100
"    Abbeville city",0100124
"    Baldwin County",01003
"    Adamsville city",0100460
"    Addison town",0100484
"    Barbour County",01005
"    Akron town",0100676
"    Bibb County",01007
"    Alabaster city",0100820
"    Blount County",01009
"    Albertville city",0100988
"    Bullock County",01011
"    Alexander City city",0101132
"    Alexandria CDP",0101180
"    Aliceville city",0101228
"    Butler County",01013
"    Allgood town",0101396
"    Calhoun County",01015
"    Altoona town",0101660
"    Chambers County",01017
"    Andalusia city",0101708
"    Anderson town",0101756
"    Anniston city",0101852
"    Cherokee County",01019
"    Chilton County",01021
"    Arab city",0102116
"    Ardmore town",0102260
"    Choctaw County",01023
"    Argo town",0102320
"    Ariton town",0102428
"    Clarke County",01025
"    Arley town",0102500
"    Clay County",01027
"    Ashford city",0102836
"    Ashland city",0102860
"    Cleburne County",01029
"    Ashville city",0102908
"    Athens city",0102956
"    Atmore city",0103004
"    Attalla city",0103028
"    Auburn city",0103076
"    Coffee County",01031
"    Autaugaville town",0103220
"    Colbert County",01033
"    Avon town",0103364
"    Conecuh County",01035
"    Axis CDP",0103508
"    Babbie town",0103556
"    Baileyton town",0103676
"    Coosa County",01037
"    Bakerhill town",0103724
"    Ballplay CDP",0103820
"    Covington County",01039
"    Banks town",0103940
"    Crenshaw County",01041
"    Cullman County",01043
"    Dale County",01045
"    Bay Minette city",0104660
"    Bayou La Batre city",0104684
"    Dallas County",01047
"    Bear Creek town",0104852
"    DeKalb County",01049
"    Beatrice town",0104900
"    Beaverton town",0104948
"    Elmore County",01051
"    Belgreen CDP",0105140
"    Belk town",0105164
"    Bellamy CDP",0105188
"    Belle Fontaine CDP",0105212
"    Escambia County",01053
"    Etowah County",01055
"    Benton town",0105692
"    Fayette County",01057
"    Berlin town",0105812
"    Franklin County",01059
"    Berry town",0105932
"    Bessemer city",0105980
"    Geneva County",01061
"    Greene County",01063
"    Billingsley town",0106460
"    Hale County",01065
"    Henry County",01067
"    Houston County",01069
"    Birmingham city",0107000
"    Jackson County",01071
"    Black town",0107120
"    Jefferson County",01073
"    Blountsville town",0107456
"    Lamar County",01075
"    Blue Mountain town",0107552
"    Blue Ridge CDP",0107588
"    Blue Springs town",0107672
"    Lauderdale County",01077
"    Lawrence County",01079
"    Boaz city",0107912
"    Lee County",01081
"    Boligee town",0108104
